0,1998.9197
1,1998.7092
2,1999.2756
3,1999.5433
4,1999.1540
5,1999.7455
6,1998.7614
7,1999.4353
8,1998.6842
9,1998.7482
10,1998.6816
11,1999.0783
12,1998.7259
13,1999.0005
14,1999.1271
15,1998.7225
16,1998.6397
17,1999.0793
18,1998.8342
19,1999.6468
20,1999.1018
21,1998.7890
22,1999.0975
23,1999.6355
24,1998.9445
25,1999.3222
26,1999.0855
27,1999.8550
28,2000.1644
29,1999.7629
30,1999.3734
31,1999.7025
32,1999.7689
33,1999.3605
34,1999.5323
35,1999.9860
36,1999.5461
37,1999.9108
38,1999.2624
39,1999.7514
40,2000.0875
41,2000.1446
42,1999.2776
43,2000.5864
44,2000.1461
45,2000.1796
46,2000.3987
47,2000.2391
48,2000.4463
49,2000.3020
50,2000.0915
51,2000.1191
52,2000.3721
53,2000.5763
54,2000.4108
55,2000.0037
56,2000.6180
57,2000.4790
58,2000.7597
59,2000.9955
60,2000.7047
61,2000.7819
62,2000.5102
63,2001.0190
64,2001.1884
65,2000.8985
66,2001.2060
67,2001.1017
68,2001.8386
69,2000.7266
70,2001.0725
71,2001.1078
72,2001.5718
73,2001.2711
74,2001.2497
75,2001.6330
76,2002.3530
77,2001.5894
78,2002.2028
79,2002.0343
80,2002.6240
81,2001.9039
82,2001.6760
83,2002.1300
84,2002.4650
85,2002.6147
86,2002.5079
87,2002.5538
88,2002.4719
89,2002.2608
90,2002.4989
91,2002.8614
92,2003.6575
93,2002.6731
94,2002.9763
95,2002.8352
96,2003.4473
97,2003.8225
98,2003.2317
99,2003.6474
100,2003.4675
101,2003.5218
102,2003.5580
103,2003.7750
104,2003.9127
105,2004.0939
106,2004.0723
107,2004.3709
108,2004.3222
109,2004.4243
110,2004.3607
111,2004.4640
112,2004.3838
113,2003.9520
114,2004.9415
115,2004.7976
116,2005.0408
117,2004.9513
118,2005.3501
119,2005.1269
120,2005.3535
121,2005.5519
122,2005.6172
123,2006.3523
124,2006.0461
125,2005.6728
126,2006.5553
127,2005.7603
128,2005.9744
129,2006.3904
130,2007.1233
131,2006.5600
132,2006.6157
133,2006.8225
134,2006.8462
